Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
RCA Persistence,0.7396,0.6193,0.7071,0.5919,0.4717,0.7127,0.703,0.5387
Density,0.5808,0.5422,0.7375,0.5944,0.5352,0.7157,0.619,0.5951
ECI,0.5408,0.4814,0.5936,0.4924,0.4875,0.7127,0.523,N/A
ECI + Density,0.5808,0.5422,0.7375,0.5944,0.5352,0.7157,0.619,0.5951
KNN (LLM embeddings),0.5856,0.5294,0.628,0.5166,0.5049,0.7127,0.67,0.445
XGBoost,0.7837,0.7662,0.8185,0.6659,0.6628,0.7601,0.897,0.7114
GNN-4F,0.6209,0.5938,0.7001,0.5732,0.5333,0.7181,0.663,0.538
GNN-11F (BACI+WDI),0.6521,0.6211,0.718,0.5835,0.5467,0.7204,0.732,0.5631
GNN-11F+LLM,0.6596,0.6241,0.7196,0.5835,0.5517,0.7198,0.744,0.5761
GNN-LLM v2 (GAT+Focal),0.6405,0.6014,0.6992,0.5684,0.5369,0.7194,0.744,0.5391
GNN-LLM v2 Unopt,0.5588,0.5245,0.6634,0.5339,0.5161,0.7156,0.529,0.4864
GNN-LLM PCA-A (SAGE),0.6499,0.6199,0.7254,0.5794,0.5519,0.7201,0.73,0.5834
GNN-LLM PCA-B (GCN+EW),0.6571,0.6242,0.7207,0.5771,0.555,0.7204,0.74,0.5729
GNN-LLM PCA-D (GAT+EW opt),0.6404,0.6045,0.7064,0.5673,0.5442,0.7197,0.741,0.5573
