Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
RCA Persistence,0.5198,0.6515,0.5013,0.4788,0.3359,0.4357,0.597,0.366
Density,0.3487,0.7792,0.4809,0.44,0.8574,0.4205,0.486,0.3448
ECI,0.137,0.4821,0.1468,0.1374,0.4637,0.2597,0.093,N/A
ECI + Density,0.3487,0.7792,0.4809,0.44,0.8574,0.4205,0.486,0.3448
KNN (LLM embeddings),0.2305,0.6373,0.283,0.2644,0.655,0.2997,0.409,0.1644
GNN-4F,0.4107,0.8184,0.4355,0.3967,0.8837,0.4689,0.615,0.2955
GNN-11F (BACI+WDI),0.4341,0.8294,0.4667,0.427,0.898,0.4817,0.632,0.3303
GNN-11F+LLM,0.442,0.8317,0.475,0.4235,0.8972,0.4851,0.661,0.3485
GNN-LLM v2 (GAT+Focal),0.41,0.8186,0.4435,0.3971,0.8881,0.4657,0.648,0.3185
GNN-LLM v2 Unopt,0.3194,0.773,0.314,0.2819,0.8512,0.4113,0.412,0.1942
GNN-LLM PCA-A (SAGE),0.4498,0.8344,0.4839,0.4365,0.9006,0.4904,0.695,0.3567
GNN-LLM PCA-B (GCN+EW),0.4565,0.8392,0.4948,0.4376,0.9057,0.4946,0.685,0.3745
