Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
RCA Persistence,0.7396,0.6193,0.7071,0.5919,0.4717,0.7127,0.703,0.5387
Density,0.5808,0.5422,0.7375,0.5944,0.5352,0.7157,0.619,0.5951
ECI,0.5408,0.4814,0.5936,0.4924,0.4875,0.7127,0.523,N/A
ECI + Density,0.5808,0.5422,0.7375,0.5944,0.5352,0.7157,0.619,0.5951
KNN (LLM embeddings),0.5856,0.5294,0.628,0.5166,0.5049,0.7127,0.67,0.445
GNN-4F,0.6218,0.5944,0.7057,0.5737,0.5341,0.7188,0.69,0.5483
GNN-11F (BACI+WDI),0.6491,0.6179,0.7136,0.5805,0.5448,0.7197,0.735,0.5678
GNN-11F+LLM,0.6573,0.6244,0.7213,0.5805,0.552,0.7202,0.746,0.5776
GNN-LLM v2 (GAT+Focal),0.6397,0.6013,0.6995,0.5671,0.5379,0.7191,0.74,0.5423
GNN-LLM v2 Unopt,0.5596,0.525,0.6627,0.5335,0.5168,0.7157,0.524,0.4836
