year,country,log_export,n_products,avg_rca,max_rca,gdp_pc,capital_formation,tertiary_enrollment,fdi_inflows,manufacturing_va,internet_users,population
1995,4,-0.2689709434909852,-0.503329247730542,0.5721330811337633,2.5854681918466063,-1.6920857009202919,-1.326908949185369,-0.9862158205257496,-0.13820945555113567,0.7336268231740198,-0.2679804393979571,0.6810577379323711
1995,8,-0.0592877436140948,-0.0514897729178314,-0.2303300655864043,-0.1082126335460929,-0.6256633245301669,-0.7552214374313538,-0.302491459430451,-0.0797020804778026,-1.0183051659518088,-0.2667822778250084,-0.033962826586138764
1995,12,0.7417835678179138,-0.6012648974436418,-0.3704881502034383,-0.33322225004662,-0.14065173149641136,0.9250395018240233,-0.5827202723398608,-0.13832685321454705,2.836498534474175,-0.26852659055905664,0.8991665247977353
1995,16,-2.619186777333752,-0.8305233501811254,-0.3909935690766508,-0.3719480838611776,0.774587215304882,-0.11566446262777173,-0.3275341845220553,-0.10860492127348982,-0.015314394552540129,-0.2569231188934315,-1.7854508512835952
1995,20,-0.3332604094187434,-0.0002961378405293,-0.3153170033014028,-0.2610864387735777,1.2684609859623284,-0.11566446262777173,-0.715976130231021,0.18725355732635343,-1.2800057927854316,0.014157508015123816,-1.7001294783610947
1995,24,0.5058767178491922,-0.801587817311346,-0.3852678664493054,-0.3668612886257902,-0.4910272490290797,0.7934178468432134,-1.020854633184706,0.06919625183375129,-1.2940120166254372,-0.26871045554926276,0.5874269616631631
1995,28,-0.3731679942066413,-0.5389422112625782,-0.2829286434501987,-0.2652756292647295,0.7976478897805585,-0.11566446262777173,-0.37063756091867855,-0.013980699937692243,-1.5683651674624657,0.1380906503069915,-1.6725237590945514
1995,31,-0.1926297139583162,-0.57010355435311,-0.1190210552030676,-0.2482410969338098,-0.8432700720945903,0.09782687163523125,-0.14767555383827913,0.19386354730400848,-0.24543855055972089,-0.2684729478556766,0.3410414159189765
1995,32,0.8950721798422342,0.4693498187381993,-0.3721704709759749,-0.3351028814570023,0.5945628659058575,-0.514660814253026,1.1362770114514158,-0.08543507484509057,0.5219468082392142,-0.25289066739796473,0.9880198878462363
1995,36,1.0746907383199615,0.7809632496435169,-0.3761068814612547,-0.3580255827989677,1.5027137186491248,0.3502320429636108,4.400857278126591,-0.0507731218699459,-0.045259479576991175,0.2416765602822838,0.7038856761273443
1995,40,1.062533404079131,2.4903854991812597,-0.3695485573626815,-0.3598664116113509,1.3977056991419277,0.48360219129060167,1.8564607193325677,-0.11983225347075248,0.6905388999424148,0.08074845014209746,0.35540549501911795
1995,44,0.1465670305635987,-0.5812326054568714,-0.2204180286378143,-0.1208178185082066,1.2830184174825012,0.5475339542217622,-0.37293392716739077,-0.0624772243621225,-1.320053431609526,-0.0912781503525845,-1.0390762701178118
1995,48,0.3471863891023007,-0.4899743864060283,-0.3414746908620216,-0.1746641879358274,1.1610468915321692,-1.1705414825626894,-0.33549104146266806,0.0191821239659313,-0.015314394552540129,-0.20485270164692293,-0.7760007135256666
1995,50,0.5606947364422554,-0.0982317875536291,-0.2623668565278241,-0.1764400660009549,-1.3261526758245505,-0.44279437691369833,-0.8080756810392987,-0.13820530051882424,0.3410590885720531,-0.26871507992024385,1.521416774843961
